1;2;40;50;5;-10
1;5;40;50;1;70
5;2;40;150;1;70
1;6;1123;1;521;1281
2;3;40;10;5;70
2;7;40;10;5;20
3;7;40;10;5;70
3;4;40;50;5;70
4;5;40;50;60;70
5;6;40;50;5;70
6;7;40;50;60;70
7;8;40;50;60;70
8;9;40;50;1;70
9;3;40;50;60;70
9;5;40;50;60;70
9;10;40;50;1;70
1;7;40;50;60;70
1;5;40;50;60;70
3;6;40;10;60;70
4;5;40;10;5;70
2;4;40;50;60;70
6;9;40;50;60;70
10;4;40;50;60;70
1;3;40;50;60;70
1;12;40;50;60;70
12;13;40;50;60;70
11;5;40;50;60;70
10;12;40;50;60;70
12;11;40;50;60;70
13;1;40;1;60;70
11;13;40;50;60;70
3;6;40;1;200;70
6;5;40;100;200;70
5;7;40;1;200;70
13;1;40;1;200;70
8;4;40;1;200;70
